time,exp1_s1,exp1_s1_Distorted
17.6884422110553,9,8
17.6884422110553,6,5
17.8894472361809,9,8
17.8894472361809,15,15
17.8894472361809,11,9
17.8894472361809,7,7
17.8894472361809,10,10
17.8894472361809,7,6
17.8894472361809,15,15
17.8894472361809,5,5
17.8894472361809,6,6
17.8894472361809,11,10
18.0904522613065,5,5
18.0904522613065,8,8
18.0904522613065,11,10
18.0904522613065,10,9
18.0904522613065,5,4
18.0904522613065,8,7
18.0904522613065,7,7
18.0904522613065,8,7
18.0904522613065,9,6
18.0904522613065,5,5
18.2914572864322,12,10
18.2914572864322,9,9
18.2914572864322,6,6
18.2914572864322,9,9
18.2914572864322,13,12
18.2914572864322,11,10
18.2914572864322,10,10
18.2914572864322,8,8
18.2914572864322,6,6
18.2914572864322,9,8
18.4924623115578,6,5
18.4924623115578,7,6
18.4924623115578,12,12
18.4924623115578,12,10
18.4924623115578,11,11
18.4924623115578,13,12
18.4924623115578,6,6
18.4924623115578,8,8
18.4924623115578,9,7
18.4924623115578,12,12
18.6934673366834,10,8
18.6934673366834,7,7
18.6934673366834,10,10
18.6934673366834,11,10
18.6934673366834,9,9
18.6934673366834,5,5
18.6934673366834,13,12
18.6934673366834,4,3
18.6934673366834,8,8
18.6934673366834,5,5
18.894472361809,7,7
18.894472361809,11,11
18.894472361809,6,6
18.894472361809,12,10
18.894472361809,10,10
18.894472361809,7,6
18.894472361809,6,6
18.894472361809,6,6
18.894472361809,11,11
18.894472361809,4,4
19.0954773869347,10,10
19.0954773869347,9,8
19.0954773869347,10,10
19.0954773869347,15,15
19.0954773869347,8,8
19.0954773869347,7,6
19.0954773869347,12,10
19.0954773869347,11,10
19.0954773869347,8,8
19.0954773869347,5,5
19.2964824120603,9,8
19.2964824120603,6,6
19.2964824120603,9,9
19.2964824120603,7,7
19.2964824120603,7,7
19.2964824120603,10,10
19.2964824120603,8,8
19.2964824120603,11,11
19.2964824120603,6,6
19.2964824120603,10,9
19.4974874371859,4,4
19.4974874371859,11,11
19.4974874371859,10,10
19.4974874371859,14,14
19.4974874371859,5,4
19.4974874371859,13,11
19.4974874371859,8,8
19.4974874371859,9,8
19.4974874371859,7,7
19.4974874371859,5,5
19.6984924623116,12,11
19.6984924623116,6,6
19.6984924623116,7,7
19.6984924623116,9,9
19.6984924623116,18,18
19.6984924623116,9,8
19.6984924623116,16,15
19.6984924623116,6,6
19.6984924623116,8,8
19.6984924623116,10,9
19.8994974874372,4,4
19.8994974874372,10,7
19.8994974874372,8,8
19.8994974874372,11,11
19.8994974874372,8,7
19.8994974874372,7,7
19.8994974874372,16,16
19.8994974874372,10,8
19.8994974874372,8,8
19.8994974874372,5,4
20.1005025125628,10,10
20.1005025125628,10,10
20.1005025125628,5,4
20.1005025125628,5,5
20.1005025125628,15,15
20.1005025125628,8,8
20.1005025125628,3,3
20.1005025125628,4,4
20.1005025125628,6,4
20.1005025125628,12,12
20.3015075376884,8,7
20.3015075376884,9,9
20.3015075376884,8,8
20.3015075376884,5,5
20.3015075376884,13,13
20.3015075376884,7,7
20.3015075376884,7,7
20.3015075376884,9,8
20.3015075376884,8,8
20.3015075376884,8,8
20.5025125628141,10,10
20.5025125628141,13,12
20.5025125628141,9,9
20.5025125628141,7,7
20.5025125628141,6,5
20.5025125628141,8,8
20.5025125628141,4,4
20.5025125628141,12,12
20.5025125628141,9,8
20.5025125628141,6,6
20.7035175879397,9,8
20.7035175879397,4,3
20.7035175879397,12,11
20.7035175879397,8,8
20.7035175879397,9,7
20.7035175879397,9,9
20.7035175879397,10,9
20.7035175879397,8,7
20.7035175879397,5,5
20.7035175879397,8,7
20.9045226130653,4,4
20.9045226130653,11,10
20.9045226130653,4,4
20.9045226130653,14,14
20.9045226130653,11,10
20.9045226130653,13,13
20.9045226130653,9,7
20.9045226130653,7,7
20.9045226130653,7,7
20.9045226130653,11,11
21.105527638191,17,17
21.105527638191,8,7
21.105527638191,11,9
21.105527638191,5,5
21.105527638191,9,9
21.105527638191,8,7
21.105527638191,10,8
21.105527638191,7,7
21.105527638191,5,4
21.105527638191,8,8
21.3065326633166,10,10
21.3065326633166,6,6
21.3065326633166,8,8
21.3065326633166,10,10
21.3065326633166,12,10
21.3065326633166,7,6
21.3065326633166,8,8
21.3065326633166,12,11
21.3065326633166,10,10
21.3065326633166,7,6
21.5075376884422,11,11
21.5075376884422,7,7
21.5075376884422,7,6
21.5075376884422,2,2
21.5075376884422,8,8
21.5075376884422,8,8
21.5075376884422,7,7
21.5075376884422,7,6
21.5075376884422,7,6
21.5075376884422,14,14
21.7085427135678,12,10
21.7085427135678,8,8
21.7085427135678,9,8
21.7085427135678,9,6
21.7085427135678,9,8
21.7085427135678,7,7
21.7085427135678,16,16
21.7085427135678,6,6
21.7085427135678,12,12
21.7085427135678,4,4
21.9095477386935,7,7
21.9095477386935,11,11
21.9095477386935,10,10
21.9095477386935,6,6
21.9095477386935,14,13
21.9095477386935,9,9
21.9095477386935,7,7
21.9095477386935,9,9
21.9095477386935,13,13
21.9095477386935,13,13
22.1105527638191,9,8
22.1105527638191,8,8
22.1105527638191,7,7
22.1105527638191,4,4
22.1105527638191,11,9
22.1105527638191,6,6
22.1105527638191,8,7
22.1105527638191,8,8
22.1105527638191,13,11
22.1105527638191,3,3
22.3115577889447,12,11
22.3115577889447,7,6
22.3115577889447,7,7
22.3115577889447,9,8
22.3115577889447,11,11
22.3115577889447,6,5
22.3115577889447,7,7
22.3115577889447,15,14
22.3115577889447,9,9
22.3115577889447,7,6
22.5125628140704,15,13
22.5125628140704,13,11
22.5125628140704,6,6
22.5125628140704,2,2
22.5125628140704,10,9
22.5125628140704,12,10
22.5125628140704,5,5
22.5125628140704,4,4
22.5125628140704,10,9
22.5125628140704,10,10
22.713567839196,9,9
22.713567839196,3,3
22.713567839196,10,10
22.713567839196,14,13
22.713567839196,12,12
22.713567839196,5,4
22.713567839196,8,8
22.713567839196,7,7
22.713567839196,9,8
22.713567839196,10,10
22.9145728643216,7,7
22.9145728643216,11,10
22.9145728643216,11,8
22.9145728643216,11,11
22.9145728643216,8,7
22.9145728643216,4,3
22.9145728643216,11,10
22.9145728643216,17,15
22.9145728643216,6,6
22.9145728643216,5,5
23.1155778894472,13,12
23.1155778894472,9,7
23.1155778894472,12,12
23.1155778894472,12,12
23.1155778894472,6,6
23.1155778894472,7,7
23.1155778894472,4,4
23.1155778894472,10,9
23.1155778894472,11,10
23.1155778894472,9,9
23.3165829145729,4,4
23.3165829145729,17,17
23.3165829145729,9,9
23.3165829145729,8,8
23.3165829145729,6,6
